STABBR,STNAME,TOTRATE
AL,Alabama,629.23
AK,Alaska,339.09
AZ,Arizona,372.33
AR,Arkansas,553.64
CA,California,450.04
CO,Colorado,378.25
CT,Connecticut,512.26
DE,Delaware,417.53
DC,District of Columbia,552.32
FL,Florida,391.33
GA,Georgia,508.31
HI,Hawaii,413.13
ID,Idaho,511.4
IL,Illinois,552.96
IN,Indiana,443.28
IA,Iowa,539.12
KS,Kansas,506.27
KY,Kentucky,515.68
LA,Louisiana,605.93
ME,Maine,276.31
MD,Maryland,418.35
MA,Massachusetts,572.43
MI,Michigan,421.44
MN,Minnesota,563.06
MS,Mississippi,587.37
MO,Missouri,492.72
MT,Montana,381.01
NE,Nebraska,556.59
NV,Nevada,343.62
NH,New Hampshire,351.52
NJ,New Jersey,547.04
NM,New Mexico,500.78
NY,New York,512.1
NC,North Carolina,475.11
ND,North Dakota,671.22
OH,Ohio,439.62
OK,Oklahoma,593.49
OR,Oregon,311.87
PA,Pennsylvania,538.36
RI,Rhode Island,548.11
SC,South Carolina,521.78
SD,South Dakota,585.66
TN,Tennessee,555.04
TX,Texas,556.54
UT,Utah,791.06
VT,Vermont,336.23
VA,Virginia,448.27
WA,Washington,346.2
WV,West Virginia,355.27
WI,Wisconsin,535.86
WY,Wyoming,395.78
